STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT11
USC00180700,"BELTSVILLE, MD US",39.0302,-76.9315,44.2,5/9/2021,0.05,0,,60,40,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,5/9/2021,0.01,0,,61,43,,,,,,,,
USC00186800,"OXON HILL, MD US",38.7955,-76.99481,57.9,5/9/2021,0.06,0,,61,43,,,,,,,,
USC00448737,"VIENNA, VA US",38.89205,-77.28913,118.9,5/9/2021,0,0,,56,41,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.84721,-77.03454,4.1,5/9/2021,0,0,56,69,47,,,,,,,,
USC00180700,"BELTSVILLE, MD US",39.0302,-76.9315,44.2,5/10/2021,0,0,,67,50,,,,,,,,
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,5/10/2021,0,0,,70,52,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,5/10/2021,0,0,,71,52,,,,,,,,
USC00186800,"OXON HILL, MD US",38.7955,-76.99481,57.9,5/10/2021,0,0,,69,45,,,,,,,,
USC00448737,"VIENNA, VA US",38.89205,-77.28913,118.9,5/10/2021,0,0,,66,47,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.84721,-77.03454,4.1,5/10/2021,0,0,62,71,52,,,,,,,,
USC00180700,"BELTSVILLE, MD US",39.0302,-76.9315,44.2,5/11/2021,0,0,,65,45,,,,,,,,
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,5/11/2021,0,0,,72,51,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,5/11/2021,0,0,,67,48,,,,,,,,
USC00186800,"OXON HILL, MD US",38.7955,-76.99481,57.9,5/11/2021,0,0,,71,49,,,,,,,,
USC00448737,"VIENNA, VA US",38.89205,-77.28913,118.9,5/11/2021,0,0,,67,47,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.84721,-77.03454,4.1,5/11/2021,0,0,60,70,52,,,,,,,1,
USC00180700,"BELTSVILLE, MD US",39.0302,-76.9315,44.2,5/12/2021,0,0,,67,42,,,,,,,,
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,5/12/2021,0,0,,66,46,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,5/12/2021,0,0,,68,48,,,,,,,,
USC00186800,"OXON HILL, MD US",38.7955,-76.99481,57.9,5/12/2021,0,0,,70,48,,,,,,,,
USC00448737,"VIENNA, VA US",38.89205,-77.28913,118.9,5/12/2021,0,0,,64,44,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.84721,-77.03454,4.1,5/12/2021,0,0,58,69,50,,,,,,,1,
USC00180700,"BELTSVILLE, MD US",39.0302,-76.9315,44.2,5/13/2021,0,0,,66,43,,,,,,,,
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,5/13/2021,0,0,,66,44,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,5/13/2021,,0,,,,,,,,,,,
USC00186800,"OXON HILL, MD US",38.7955,-76.99481,57.9,5/13/2021,0,0,,68,47,,,,,,,,
USC00448737,"VIENNA, VA US",38.89205,-77.28913,118.9,5/13/2021,0,0,,64,44,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.84721,-77.03454,4.1,5/13/2021,0,0,61,72,49,,,,,,,1,
USC00180700,"BELTSVILLE, MD US",39.0302,-76.9315,44.2,5/14/2021,0,0,,69,44,,,,,,,,
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,5/14/2021,0,0,,70,46,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,5/14/2021,0,0,,,,,,,,,,,
USC00186800,"OXON HILL, MD US",38.7955,-76.99481,57.9,5/14/2021,0,0,,72,45,,,,,,,,
USC00448737,"VIENNA, VA US",38.89205,-77.28913,118.9,5/14/2021,0,0,,67,42,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.84721,-77.03454,4.1,5/14/2021,0,0,63,74,52,,,,,,,,
USC00180700,"BELTSVILLE, MD US",39.0302,-76.9315,44.2,5/15/2021,0,0,,72,42,,,,,,,,
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,5/15/2021,0,0,,72,44,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,5/15/2021,0,0,,74,45,,,,,,,,
USC00186800,"OXON HILL, MD US",38.7955,-76.99481,57.9,5/15/2021,0,0,,75,42,,,,,,,,
USC00448737,"VIENNA, VA US",38.89205,-77.28913,118.9,5/15/2021,0,0,,69,43,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.84721,-77.03454,4.1,5/15/2021,0,0,65,79,51,,,,,,,,
USC00180700,"BELTSVILLE, MD US",39.0302,-76.9315,44.2,5/16/2021,0,0,,77,45,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,5/16/2021,0,0,,79,47,,,,,,,,
USC00186800,"OXON HILL, MD US",38.7955,-76.99481,57.9,5/16/2021,0,0,,80,45,,,,,,,,
USC00448737,"VIENNA, VA US",38.89205,-77.28913,118.9,5/16/2021,0,0,,74,44,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.84721,-77.03454,4.1,5/16/2021,0,0,63,73,54,,,,,,,1,
USC00180700,"BELTSVILLE, MD US",39.0302,-76.9315,44.2,5/17/2021,0,0,,73,47,,,,,,,,
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,5/17/2021,0.05,0,,74,49,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,5/17/2021,0,0,,73,50,,,,,,,,
USC00186800,"OXON HILL, MD US",38.7955,-76.99481,57.9,5/17/2021,0,0,,75,49,,,,,,,,
USC00448737,"VIENNA, VA US",38.89205,-77.28913,118.9,5/17/2021,0.07,0,,70,48,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.84721,-77.03454,4.1,5/17/2021,0,0,64,75,54,,,,,,,,
USC00180700,"BELTSVILLE, MD US",39.0302,-76.9315,44.2,5/18/2021,0,0,,72,47,,,,,,,,
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,5/18/2021,0,0,,75,50,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,5/18/2021,0,0,,74,50,,,,,,,,
USC00186800,"OXON HILL, MD US",38.7955,-76.99481,57.9,5/18/2021,0,0,,76,50,,,,,,,,
USC00448737,"VIENNA, VA US",38.89205,-77.28913,118.9,5/18/2021,0,0,,71,48,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.84721,-77.03454,4.1,5/18/2021,0,0,67,79,55,,,,,,,1,
USC00180700,"BELTSVILLE, MD US",39.0302,-76.9315,44.2,5/19/2021,0,0,,79,51,,,,,,,,
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,5/19/2021,0,0,,79,50,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,5/19/2021,0,0,,81,57,,,,,,,,
USC00186800,"OXON HILL, MD US",38.7955,-76.99481,57.9,5/19/2021,0,0,,82,52,,,,,,,,
USC00448737,"VIENNA, VA US",38.89205,-77.28913,118.9,5/19/2021,0,0,,76,49,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.84721,-77.03454,4.1,5/19/2021,0,0,71,85,58,,,,,,,1,
USC00180700,"BELTSVILLE, MD US",39.0302,-76.9315,44.2,5/20/2021,0,0,,86,55,,,,,,,,
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,5/20/2021,0,0,,86,56,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,5/20/2021,0,0,,87,59,,,,,,,,
USC00186800,"OXON HILL, MD US",38.7955,-76.99481,57.9,5/20/2021,0,0,,87,58,,,,,,,,
USC00448737,"VIENNA, VA US",38.89205,-77.28913,118.9,5/20/2021,0,0,,83,55,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.84721,-77.03454,4.1,5/20/2021,0,0,75,93,62,,,,,,,,
USC00180700,"BELTSVILLE, MD US",39.0302,-76.9315,44.2,5/21/2021,0,0,,88,51,,,,,,,,
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,5/21/2021,0,0,,89,53,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,5/21/2021,0,0,,92,54,,,,,,,,
USC00186800,"OXON HILL, MD US",38.7955,-76.99481,57.9,5/21/2021,0,0,,89,55,,,,,,,,
USC00448737,"VIENNA, VA US",38.89205,-77.28913,118.9,5/21/2021,0,0,,88,52,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.84721,-77.03454,4.1,5/21/2021,0,0,71,83,59,,,,,,,,
USC00180700,"BELTSVILLE, MD US",39.0302,-76.9315,44.2,5/22/2021,0,0,,85,54,,,,,,,,
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,5/22/2021,0,0,,84,60,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,5/22/2021,0,0,,86,61,,,,,,,,
USC00186800,"OXON HILL, MD US",38.7955,-76.99481,57.9,5/22/2021,0,0,,86,57,,,,,,,,
USC00448737,"VIENNA, VA US",38.89205,-77.28913,118.9,5/22/2021,0,0,,80,52,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.84721,-77.03454,4.1,5/22/2021,0,0,75,91,62,,,,,,,,
USC00180700,"BELTSVILLE, MD US",39.0302,-76.9315,44.2,5/23/2021,0,0,,88,70,,,,,,,,
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,5/23/2021,0,0,,,66,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,5/23/2021,0,0,,91,69,,,,,,,,
USC00186800,"OXON HILL, MD US",38.7955,-76.99481,57.9,5/23/2021,0,0,,89,63,,,,,,,,
USC00448737,"VIENNA, VA US",38.89205,-77.28913,118.9,5/23/2021,0,0,,84,59,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.84721,-77.03454,4.1,5/23/2021,0,0,84,94,74,,,,,,,,
USC00180700,"BELTSVILLE, MD US",39.0302,-76.9315,44.2,5/24/2021,0.13,0,,90,62,,,,,,,,
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,5/24/2021,0.04,0,,90,64,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,5/24/2021,0.1,0,,93,64,,,,,,,,
USC00186800,"OXON HILL, MD US",38.7955,-76.99481,57.9,5/24/2021,0,0,,92,75,,,,,,,,
USC00448737,"VIENNA, VA US",38.89205,-77.28913,118.9,5/24/2021,0.02,0,,87,66,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.84721,-77.03454,4.1,5/24/2021,0.34,0,73,80,59,,,,,,,,
USC00180700,"BELTSVILLE, MD US",39.0302,-76.9315,44.2,5/25/2021,0.23,0,,66,56,,,,,,,,
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,5/25/2021,0.4,0,,,59,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,5/25/2021,0.38,0,,68,58,,,,,,,,
USC00186800,"OXON HILL, MD US",38.7955,-76.99481,57.9,5/25/2021,0.26,0,,76,56,,,,,,,,
USC00448737,"VIENNA, VA US",38.89205,-77.28913,118.9,5/25/2021,0.5,0,,67,57,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.84721,-77.03454,4.1,5/25/2021,0,0,65,79,58,,,,,,,,
USC00180700,"BELTSVILLE, MD US",39.0302,-76.9315,44.2,5/26/2021,0.01,0,,79,60,,,,,,,,
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,5/26/2021,0,0,,79,59,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,5/26/2021,0,0,,80,61,,,,,,,,
USC00186800,"OXON HILL, MD US",38.7955,-76.99481,57.9,5/26/2021,0,0,,82,58,,,,,,,,
USC00448737,"VIENNA, VA US",38.89205,-77.28913,118.9,5/26/2021,0,0,,76,56,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.84721,-77.03454,4.1,5/26/2021,0.9,0,76,91,70,1,,1,,,,,
USC00180700,"BELTSVILLE, MD US",39.0302,-76.9315,44.2,5/27/2021,0.84,0,,92,64,,,1,,,,,
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,5/27/2021,0.8,0,,93,65,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,5/27/2021,0.78,0,,93,66,,,,,,,,
USC00186800,"OXON HILL, MD US",38.7955,-76.99481,57.9,5/27/2021,0.63,0,,94,66,,,1,,,,,
USC00448737,"VIENNA, VA US",38.89205,-77.28913,118.9,5/27/2021,1.11,0,,88,63,,,1,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.84721,-77.03454,4.1,5/27/2021,0,0,77,86,69,,,,,,,,
USC00180700,"BELTSVILLE, MD US",39.0302,-76.9315,44.2,5/28/2021,0,0,,84,63,,,,,,,,
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,5/28/2021,0,0,,84,64,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,5/28/2021,0,0,,86,66,,,,,,,,
USC00186800,"OXON HILL, MD US",38.7955,-76.99481,57.9,5/28/2021,0,0,,86,65,,,,,,,,
USC00448737,"VIENNA, VA US",38.89205,-77.28913,118.9,5/28/2021,0,0,,81,63,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.84721,-77.03454,4.1,5/28/2021,1.16,0,73,77,59,1,,1,,,,,
USC00180700,"BELTSVILLE, MD US",39.0302,-76.9315,44.2,5/29/2021,1.54,0,,72,51,,,1,,,,,
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,5/29/2021,1.1,0,,73,51,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,5/29/2021,1.4,0,,76,53,,,,,,,,
USC00186800,"OXON HILL, MD US",38.7955,-76.99481,57.9,5/29/2021,1.23,0,,75,55,,,1,,,,,
USC00448737,"VIENNA, VA US",38.89205,-77.28913,118.9,5/29/2021,1.18,0,,72,52,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.84721,-77.03454,4.1,5/29/2021,0.53,0,56,59,51,1,,,,,,,
USC00180700,"BELTSVILLE, MD US",39.0302,-76.9315,44.2,5/30/2021,0.24,0,,52,48,,,,,,,,
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,5/30/2021,0.22,0,,53,48,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,5/30/2021,0.55,0,,55,51,,,,,,,,
USC00186800,"OXON HILL, MD US",38.7955,-76.99481,57.9,5/30/2021,0.46,0,,55,50,,,,,,,,
USC00448737,"VIENNA, VA US",38.89205,-77.28913,118.9,5/30/2021,0.11,0,,52,49,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.84721,-77.03454,4.1,5/30/2021,0.15,0,53,58,50,,,,,,,,
USC00180700,"BELTSVILLE, MD US",39.0302,-76.9315,44.2,5/31/2021,0,0,,59,48,,,,,,,,
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,5/31/2021,0.1,0,,58,48,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,5/31/2021,0.02,0,,60,51,,,,,,,,
USC00186800,"OXON HILL, MD US",38.7955,-76.99481,57.9,5/31/2021,0.02,0,,55,43,,,,,,,,
USC00448737,"VIENNA, VA US",38.89205,-77.28913,118.9,5/31/2021,0,0,,58,48,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.84721,-77.03454,4.1,5/31/2021,0,0,60,76,50,,,,,,,,
USC00180700,"BELTSVILLE, MD US",39.0302,-76.9315,44.2,6/1/2021,0,0,,74,50,,,,,,,,
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,6/1/2021,0,0,,74,53,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,6/1/2021,0,0,,76,54,,,,,,,,
USC00186800,"OXON HILL, MD US",38.7955,-76.99481,57.9,6/1/2021,0,0,,76,51,,,,,,,,
USC00448737,"VIENNA, VA US",38.89205,-77.28913,118.9,6/1/2021,0,0,,71,46,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.84721,-77.03454,4.1,6/1/2021,0,0,68,78,57,,,,,,,,
USC00180700,"BELTSVILLE, MD US",39.0302,-76.9315,44.2,6/2/2021,0,0,,79,61,,,,,,,,
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,6/2/2021,0,0,,80,64,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,6/2/2021,0,0,,80,62,,,,,,,,
USC00186800,"OXON HILL, MD US",38.7955,-76.99481,57.9,6/2/2021,0,0,,79,55,,,,,,,,
USC00448737,"VIENNA, VA US",38.89205,-77.28913,118.9,6/2/2021,0,0,,75,53,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.84721,-77.03454,4.1,6/2/2021,0,0,71,81,64,,,,,,,,
USC00180700,"BELTSVILLE, MD US",39.0302,-76.9315,44.2,6/3/2021,0.01,0,,81,66,,,,,,,,
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,6/3/2021,0.01,0,,85,62,1,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,6/3/2021,0.08,0,,83,65,,,,,,,,
USC00186800,"OXON HILL, MD US",38.7955,-76.99481,57.9,6/3/2021,0.18,0,,83,61,,,,,,,,
USC00448737,"VIENNA, VA US",38.89205,-77.28913,118.9,6/3/2021,0.07,0,,78,62,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.84721,-77.03454,4.1,6/3/2021,0.1,0,73,83,67,1,,1,,,,,
USC00180700,"BELTSVILLE, MD US",39.0302,-76.9315,44.2,6/4/2021,0,0,,84,68,,,,,,,,
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,6/4/2021,0.5,0,,84,66,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,6/4/2021,0.07,0,,85,69,,,,,,,,
USC00186800,"OXON HILL, MD US",38.7955,-76.99481,57.9,6/4/2021,0.14,0,,85,68,,,1,,,,,
USC00448737,"VIENNA, VA US",38.89205,-77.28913,118.9,6/4/2021,0.02,0,,80,65,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.84721,-77.03454,4.1,6/4/2021,0.05,0,74,86,70,,,1,,,,,
USC00180700,"BELTSVILLE, MD US",39.0302,-76.9315,44.2,6/5/2021,0,0,,84,60,,,,,,,,
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,6/5/2021,0.1,0,,84,63,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,6/5/2021,0.02,0,,86,66,,,,,,,,
USC00186800,"OXON HILL, MD US",38.7955,-76.99481,57.9,6/5/2021,0.07,0,,86,65,,,1,,,,,
USC00448737,"VIENNA, VA US",38.89205,-77.28913,118.9,6/5/2021,0.11,0,,82,62,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.84721,-77.03454,4.1,6/5/2021,0,0,79,91,68,,,,,,,,
USC00180700,"BELTSVILLE, MD US",39.0302,-76.9315,44.2,6/6/2021,0,0,,92,64,,,,,,,,
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,6/6/2021,0,0,,93,65,,,,,,,,
