Name,Address,Line,Train Information URL,Web URL,GIS Identifier,Master Address Repository Identifier,CREATOR,CREATED,EDITOR,EDITED
Friendship Heights,"5337 WISCONSIN AVENUE NW, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A08|Friendship Heights,https://www.wmata.com/rider-guide/stations/friendship-hghts.cfm,MetroStnFullPt_89,"303,188",JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
Pentagon City,"1250 SOUTH HAYES ST., ARLINGTON, VA","blue, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#C08|Pentagon City,https://www.wmata.com/rider-guide/stations/pentagon-city.cfm,MetroStnFullPt_90,,JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
Federal Triangle,"350 12TH STREET NW, WASHINGTON, DC","blue, orange, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#D01|Federal Triangle,https://www.wmata.com/rider-guide/stations/federal-triangle.cfm,MetroStnFullPt_91,"316,345",JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
Reston Town Center,"12023-A SUNSET HILLS RD, RESTON, VA 20190",silver,https://www.wmata.com/js/nexttrain/nexttrain.html#N07|Reston%20Town%20Center,https://www.wmata.com/rider-guide/stations/reston.cfm,MetroStnFullPt_92,,JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
Herndon,"585-A HERNDON PKY, HERNDON, VA 20170",silver,https://www.wmata.com/js/nexttrain/nexttrain.html#N08|Herndon,https://www.wmata.com/rider-guide/stations/herndon.cfm,MetroStnFullPt_93,,JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
Innovation Center,"13747-A SUNRISE VALLEY DR, HERNDON, VA 20171",silver,https://www.wmata.com/js/nexttrain/nexttrain.html#N09|Innovation%20Center,https://www.wmata.com/rider-guide/stations/innovation-center.cfm,MetroStnFullPt_94,,JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
Washington Dulles International Airport,"44920 SAARINEN CIR, DULLES, VA 20166",silver,https://www.wmata.com/js/nexttrain/nexttrain.html#N10|Washington%20Dulles%20International%20Airport,https://www.wmata.com/rider-guide/stations/washington-dulles.cfm,MetroStnFullPt_95,,JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
Loudoun Gateway,"22505-A LOCK RIDGE RD, STERLING, VA 20166",silver,https://www.wmata.com/js/nexttrain/nexttrain.html#N11|Loudoun%20Gateway,https://www.wmata.com/rider-guide/stations/loudoun.cfm,MetroStnFullPt_96,,JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
Ashburn,"43625-A CROSON LN, ASHBURN, VA 20147",silver,https://www.wmata.com/js/nexttrain/nexttrain.html#N12|Ashburn,https://www.wmata.com/rider-guide/stations/ashburn.cfm,MetroStnFullPt_97,,JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
Potomac Yard,"2900 POTOMAC GREENS DRIVE, ALEXANDRIA, VA 22314","blue, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#C15|potomacyard,https://www.wmata.com/rider-guide/stations/potomac-yard.cfm,MetroStnFullPt_98,,JLAY,"5/24/2023, 1:50 AM",JLAY,"5/24/2023, 3:07 AM"
